F,S11,S21,S31,S41,S12,S22,S32,S42,S13,S23,S33,S43,S14,S24,S34,S44,S11',S21',S31',S41',S12',S22',S32',S42',S13',S23',S33',S43',S14',S24',S34',S44'
16.139999,-31.768629,-0.049163594,-34.985405,-41.509229,-0.049161968,-31.781341,-41.50922,-34.983709,-34.985405,-41.509231,-31.76863,-0.049164111,-41.509219,-34.983709,-0.049161968,-31.781342,-31.768629,-0.049163594,-34.985405,-41.509229,-0.049161968,-31.781341,-41.50922,-34.983709,-34.985405,-41.509231,-31.76863,-0.049164111,-41.509219,-34.983709,-0.049161968,-31.781342
16.16,-31.758642,-0.049236988,-34.974873,-41.498822,-0.049234838,-31.771371,-41.498814,-34.973175,-34.974874,-41.498825,-31.758644,-0.049236973,-41.498811,-34.973175,-0.049235362,-31.771372,-31.758642,-0.049236988,-34.974873,-41.498822,-0.049234838,-31.771371,-41.498814,-34.973175,-34.974874,-41.498825,-31.758644,-0.049236973,-41.498811,-34.973175,-0.049235362,-31.771372
16.179998,-31.74868,-0.049311283,-34.964356,-41.488433,-0.049309133,-31.761424,-41.488423,-34.962656,-34.964357,-41.488435,-31.748681,-0.049311283,-41.488421,-34.962657,-0.049309133,-31.761425,-31.74868,-0.049311283,-34.964356,-41.488433,-0.049309133,-31.761424,-41.488423,-34.962656,-34.964357,-41.488435,-31.748681,-0.049311283,-41.488421,-34.962657,-0.049309133,-31.761425
16.199999,-31.73874,-0.049385466,-34.953855,-41.478059,-0.049383323,-31.751501,-41.478049,-34.952152,-34.953856,-41.478061,-31.738741,-0.049385459,-41.478049,-34.952153,-0.049383323,-31.751502,-31.73874,-0.049385466,-34.953855,-41.478059,-0.049383323,-31.751501,-41.478049,-34.952152,-34.953856,-41.478061,-31.738741,-0.049385459,-41.478049,-34.952153,-0.049383323,-31.751502
16.219999,-31.728824,-0.049459021,-34.943369,-41.467702,-0.049457402,-31.7416,-41.467692,-34.941663,-34.94337,-41.467704,-31.728824,-0.049459021,-41.467692,-34.941665,-0.049457395,-31.741602,-31.728824,-0.049459021,-34.943369,-41.467702,-0.049457402,-31.7416,-41.467692,-34.941663,-34.94337,-41.467704,-31.728824,-0.049459021,-41.467692,-34.941665,-0.049457395,-31.741602
16.24,-31.71893,-0.049533498,-34.932898,-41.457362,-0.049531348,-31.731723,-41.457352,-34.931191,-34.932898,-41.457364,-31.718931,-0.049533491,-41.457352,-34.931191,-0.049531873,-31.731725,-31.71893,-0.049533498,-34.932898,-41.457362,-0.049531348,-31.731723,-41.457352,-34.931191,-34.932898,-41.457364,-31.718931,-0.049533491,-41.457352,-34.931191,-0.049531873,-31.731725
16.26,-31.709061,-0.049607865,-34.922441,-41.44704,-0.049606239,-31.721871,-41.44703,-34.920732,-34.922442,-41.447042,-31.709061,-0.049607857,-41.447029,-34.920733,-0.049606239,-31.721871,-31.709061,-0.049607865,-34.922441,-41.44704,-0.049606239,-31.721871,-41.44703,-34.920732,-34.922442,-41.447042,-31.709061,-0.049607857,-41.447029,-34.920733,-0.049606239,-31.721871
16.280001,-31.699214,-0.049683133,-34.912,-41.436734,-0.049680997,-31.71204,-41.436725,-34.910289,-34.912001,-41.436736,-31.699215,-0.049683133,-41.436723,-34.910289,-0.049680989,-31.712042,-31.699214,-0.049683133,-34.912,-41.436734,-0.049680997,-31.71204,-41.436725,-34.910289,-34.912001,-41.436736,-31.699215,-0.049683133,-41.436723,-34.910289,-0.049680989,-31.712042
16.299999,-31.689391,-0.049757263,-34.901575,-41.426445,-0.049755644,-31.702234,-41.426435,-34.899861,-34.901575,-41.426447,-31.689392,-0.049757263,-41.426434,-34.899861,-0.049755636,-31.702235,-31.689391,-0.049757263,-34.901575,-41.426445,-0.049755644,-31.702234,-41.426435,-34.899861,-34.901575,-41.426447,-31.689392,-0.049757263,-41.426434,-34.899861,-0.049755636,-31.702235
16.32,-31.679592,-0.049832848,-34.891163,-41.416172,-0.049830697,-31.692451,-41.416163,-34.889446,-34.891164,-41.416174,-31.679593,-0.049832841,-41.416162,-34.889447,-0.04983069,-31.692452,-31.679592,-0.049832848,-34.891163,-41.416172,-0.049830697,-31.692451,-41.416163,-34.889446,-34.891164,-41.416174,-31.679593,-0.049832841,-41.416162,-34.889447,-0.04983069,-31.692452
